teste,Variaveis,,RDA1,RDA2,RDA3
Indicadores de pressão,Agricultura,,"-0,26","\textbf{-0,53}","0,36"
Indicadores de pressão,Gado,,"-0,35","-0,02","-0,29"
Indicadores de pressão,Espelhos d'água,,"\textbf{0,66}","\textbf{-0,36}","0,01"
Indicadores de pressão,Rede viária,,"-0,31","-0,04","0,07"
Indicadores de pressão,Áreas urbanas,,"0,19","0,02","-0,24"
Indicadores de pressão,Mineração,,"0,14","\textbf{0,46}","0,34"
,,Nome abreviado,Escores,Escores,Escores
Espécies,\textit{Characidium zebra},Charzebr,"\textbf{0,28}","\textbf{-0,15}","-0,04"
Espécies,\textit{Pseudocorydopoma doriae},Pseudori,"\textbf{0,25}","0,08","-0,11"
Espécies,\textit{Gymnogeophagus mekinos},Gymnmeki,"\textbf{0,24}","-0,02","0,04"
Espécies,\textit{Crenicichla scotti},Crenscot,"\textbf{0,24}","0,02","0,05"
Espécies,\textit{Astyanax henseli},Astyhens,"\textbf{0,23}","0,12","-0,20"
Espécies,\textit{Gymnogeophagus rhabdotus},Gymnrhab,"\textbf{0,21}","-0,02","-0,10"
Espécies,\textit{Cyanocharax alegretensis},Cyanaleg,"\textbf{0,19}","0,02","-0,01"
Espécies,\textit{Hoplias malabaricus},Hoplmala,"\textbf{-0,19}","-0,09","-0,04"
Espécies,\textit{Characidium pterostictum},Charpter,"-0,19","\textbf{0,27}","0,00"
Espécies,\textit{Ancistrus taunay},Ancitaun,"\textbf{0,18}","\textbf{0,16}","0,03"
Espécies,\textit{Synbranchus marmoratus},Synbmarm,"\textbf{0,17}","\textbf{-0,14}","-0,06"
Espécies,\textit{Astyanax xiru},Astyxiru,"0,03","\textbf{0,22}","0,12"
Espécies,\textit{Scleronema minutum},Scleminu,"0,10","\textbf{0,18}","-0,01"
Espécies,\textit{Astyanax jacuhiensis},Astyjacu,"-0,04","\textbf{-0,16}","\textbf{-0,18}"
Espécies,\textit{Crenicichla lepidota},Crenlepi,"0,03","\textbf{-0,15}","-0,13"
Espécies,\textit{Rineloricaria cadeae},Rinecade,"0,02","\textbf{0,14}","\textbf{-0,15}"
