Familia,Especies,Grupo
Aspredinidae,\textit{Bunocephalus doriae},R
Aspredinidae,\textit{Pseudobunocephalus iheringii},R
Characidae,\textit{Aphyocharax anisitsi},R
Characidae,\textit{Astyanax fasciatus},R
Characidae,\textit{Astyanax saguazu},R
Characidae,\textit{Astyanax }sp. A,R
Characidae,\textit{Astyanax }sp. B,R
Characidae,\textit{Astyanax stenohalinus},R
Characidae,\textit{Cheirodon ibicuhiensis},R
Characidae,\textit{Cyanocharax tipiaia},R
Characidae,\textit{Diapoma speculiferum},R
Characidae,\textit{Heterocheirodon yatai},R
Characidae,\textit{Hyphessobrycon anisitsi},R
Characidae,\textit{Hyphessobrycon meridionalis},R
Characidae,\textit{Hyphessobrycon togoi},R
Characidae,\textit{Hypobrycon }sp.,R
Characidae,\textit{Mimagoniates inequalis},R
Characidae,\textit{Moenkhausia dichroura},R
Characidae,\textit{Odontostilbe pequira},R
Characidae,\textit{Oligosarcus jacuiensis},R
Characidae,\textit{Oligosarcus oligolepis},R
Characidae,\textit{Oligosarcus robustus},R
Characidae,\textit{Oligosarcus }sp.,R
Characidae,\textit{Serrapinnus calliurus},R
Characidae,\textit{Astyanax dissensus},
Characidae,\textit{Astyanax eigenmanniorum},
Characidae,\textit{Astyanax henseli},
Characidae,\textit{Astyanax jacuhiensis},
Characidae,\textit{Astyanax laticeps},C
Characidae,\textit{Astyanax procerus},
Characidae,\textit{Astyanax xiru},
Characidae,\textit{Bryconamericus iheringii},C
Characidae,\textit{Charax stenopterus},
Characidae,\textit{Cheirodon interruptus},
Characidae,\textit{Cyanocharax alegretensis},
Characidae,\textit{Cyanocharax uruguayensis},
Characidae,\textit{Diapoma terofali},
Characidae,\textit{Hyphessobrycon luetkenii},
Characidae,\textit{Oligosarcus jenynsii},
Characidae,\textit{Pseudocorynopoma doriae },C
Crenuchidae,\textit{Characidium tenue},R
Crenuchidae,\textit{Characidium occidentale},
Crenuchidae,\textit{Characidium orientale},
Crenuchidae,\textit{Characidium pterostictum},C
Crenuchidae,\textit{Characidium zebra},
Curimatidae,\textit{Cyphocharax saladensis},R
Curimatidae,\textit{Steindachnerina biornata},R
Curimatidae,\textit{Steindachnerina brevipinna},R
Curimatidae,\textit{Cyphocharax spilotus},
Curimatidae,\textit{Cyphocharax voga},
Erythrinidae,\textit{Hoplias malabaricus},
Callichthyidae,\textit{Callichthys callichthys},R
Callichthyidae,\textit{Corydoras }sp.,R
Callichthyidae,\textit{Corydoras undulatus},R
Callichthyidae,\textit{Corydoras paleatus},
Heptapteridae,\textit{Heptapterus }sp.,R
Heptapteridae,\textit{Heptapterus sympterygium},R
Heptapteridae,\textit{Imparfinis mishky},R
Heptapteridae,\textit{Rhamdella eriarcha},R
Heptapteridae,\textit{Heptapterus mustelinus},C
Heptapteridae,\textit{Pimelodella australis},
Heptapteridae,\textit{Rhamdella longiuscula},
Heptapteridae,\textit{Rhamdia quelen},C
Loricariidae,\textit{Hemiancistrus punctulatus},R
Loricariidae,\textit{Hisonotus armatus},R
Loricariidae,\textit{Hisonotus notopagos},R
Loricariidae,\textit{Hisonotus ringueleti},R
Loricariidae,\textit{Hypostomus aspilogaster},R
Loricariidae,\textit{Hypostomus uruguayensis },R
Loricariidae,\textit{Otocinclus arnoldi},R
Loricariidae,\textit{Otocinclus flexilis},R
Loricariidae,\textit{Pseudohemiodon laticeps},R
Loricariidae,\textit{Rineloricaria longicauda},R
Loricariidae,\textit{Rineloricaria }sp.,R
Loricariidae,\textit{Rineloricaria strigilata},R
Loricariidae,\textit{Ancistrus brevipinnis},
Loricariidae,\textit{Ancistrus taunay},C
Loricariidae,\textit{Hemiancistrus fuliginosus},
Loricariidae,\textit{Hisonotus charrua},
Loricariidae,\textit{Hisonotus laevior},
Loricariidae,\textit{Hypostomus commersonii},
Loricariidae,\textit{Rineloricaria cadeae},
Loricariidae,\textit{Rineloricaria microlepidogaster},
Loricariidae,\textit{Rineloricaria stellata},C
Pseudopimelodidae,\textit{Microglanis cottoides},
Trichomycteridae,\textit{Homodiaetus anisitsi},R
Trichomycteridae,\textit{Ituglanis australis},R
Trichomycteridae,\textit{Ituglanis sp.},R
Trichomycteridae,\textit{Scleronema operculatum},R
Trichomycteridae,\textit{Scleronema }sp.,R
Trichomycteridae,\textit{Scleronema aff. operculatum},
Trichomycteridae,\textit{Scleronema minutum},
Gymnotidae,\textit{Gymnotus carapo},R
Hypopomidae,\textit{Brachyhypopomus bombilla},R
Sternopygidae,\textit{Eigenmannia trilineata},R
Poeciliidae,\textit{Cnesterodon decemmaculatus},R
Poeciliidae,\textit{Phalloceros caudimaculatus},
Cichlidae,\textit{Apistogramma commbrae},R
Cichlidae,\textit{Australoheros scitulus},R
Cichlidae,\textit{Cichlasoma dimerus},R
Cichlidae,\textit{Crenicichla punctata},R
Cichlidae,\textit{Gymnogeophagus gymnogenys},R
Cichlidae,\textit{Gymnogeophagus labiatus},R
Cichlidae,\textit{Gymnogeophagus meridionalis},R
Cichlidae,\textit{Gymnogeophagus pseudolabiatus},R
Cichlidae,\textit{Australoheros facetus},
Cichlidae,\textit{Australoheros minuano},
Cichlidae,\textit{Crenicichla lepidota},C
Cichlidae,\textit{Crenicichla scotti},
Cichlidae,\textit{Gymnogeophagus mekinos},
Cichlidae,\textit{Gymnogeophagus rhabdotus},
Synbranchidae,\textit{Synbranchus marmoratus},C
